uuid,awareness,vote,effect,arguments_for,arguments_against
536610c0-d8fe-0133-bf77-0a81e8b09a82,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
7ba5a820-dacd-0133-7b9f-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state
771a0ed0-d9aa-0133-49ee-0a81e8b09a82,I understand it fully,I would vote for it,Gain additional skills,None of the above,It increases dependence on the state | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
bbfff2b0-dd77-0133-7a3e-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state
69c22d50-da7b-0133-89de-0a81e8b09a82,I know something about it,I would probably vote for it,Look for a different job,None of the above,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
71528d10-da3e-0133-ccf9-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is against the principle of linking merit and reward
64143050-d960-0133-7bc8-0a81e8b09a82,I have never heard of it,I would not vote,Look for a different job,None of the above,It is against the principle of linking merit and reward
73ea6220-dbb9-0133-5724-0a81e8b09a82,I have never heard of it,I would vote for it,Work less,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
2a0d7b00-da45-0133-962c-0a81e8b09a82,I know something about it,I would vote against it,Stop working,None of the above,It increases dependence on the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
b1770620-da0e-0133-fbf3-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It might encourage people to stop working | Only the people who need it most should get something from the state
1af508f0-dce0-0133-c456-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Gain additional skills,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
5f2e8340-db4e-0133-7015-0a81e8b09a82,I know something about it,I would probably vote against it,Work less,"It increases solidarity, because it is funded by everyone",It increases dependence on the state | It might encourage people to stop working | It is impossible to finance
0a5276f0-d8e9-0133-c355-0a81e8b09a82,I know something about it,I would probably vote against it,Spend more time with my family,It reduces bureaucracy and administrative expenses,It might encourage people to stop working
